seed,fold,accuracy,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,macro_f1,weighted_f1,roc_auc,pr_auc,confusion_matrix
42,0,0.8421052631578947,0.6976744186046512,0.9375,0.8000000000000002,32,0.9615384615384616,0.7936507936507936,0.8695652173913043,63,0.8347826086956522,0.8461327231121282,0.9181547619047619,0.9659144162871842,"{'TN': 30, 'FP': 2, 'FN': 13, 'TP': 50}"
42,1,0.8,0.6444444444444445,0.90625,0.7532467532467533,32,0.94,0.746031746031746,0.831858407079646,63,0.7925525801631996,0.8053786921043558,0.9265873015873015,0.9631900685979902,"{'TN': 29, 'FP': 3, 'FN': 16, 'TP': 47}"
42,2,0.8315789473684211,0.7222222222222222,0.8125,0.7647058823529411,32,0.8983050847457628,0.8412698412698413,0.8688524590163935,63,0.8167791706846672,0.8337715068771253,0.9181547619047619,0.9614918470845288,"{'TN': 26, 'FP': 6, 'FN': 10, 'TP': 53}"
42,3,0.8404255319148937,0.7073170731707317,0.90625,0.7945205479452054,32,0.9433962264150944,0.8064516129032258,0.8695652173913043,62,0.8320428826682549,0.8440180958777387,0.9450604838709677,0.973530461249689,"{'TN': 29, 'FP': 3, 'FN': 12, 'TP': 50}"
42,4,0.8936170212765957,0.8181818181818182,0.8709677419354839,0.84375,31,0.9344262295081968,0.9047619047619048,0.9193548387096775,63,0.8815524193548387,0.8944213280713794,0.9477726574500768,0.9745582444492318,"{'TN': 27, 'FP': 4, 'FN': 6, 'TP': 57}"
123,0,0.8315789473684211,0.7222222222222222,0.8125,0.7647058823529411,32,0.8983050847457628,0.8412698412698413,0.8688524590163935,63,0.8167791706846672,0.8337715068771253,0.9330357142857143,0.9663840383057771,"{'TN': 26, 'FP': 6, 'FN': 10, 'TP': 53}"
123,1,0.8526315789473684,0.75,0.84375,0.7941176470588235,32,0.9152542372881356,0.8571428571428571,0.8852459016393444,63,0.8396817743490839,0.8545500685174846,0.9399801587301587,0.970873418261647,"{'TN': 27, 'FP': 5, 'FN': 9, 'TP': 54}"
123,2,0.8421052631578947,0.717948717948718,0.875,0.7887323943661971,32,0.9285714285714286,0.8253968253968254,0.8739495798319328,63,0.8313409870990649,0.8452448436750534,0.9265873015873016,0.9675083999040373,"{'TN': 28, 'FP': 4, 'FN': 11, 'TP': 52}"
123,3,0.8404255319148937,0.7073170731707317,0.90625,0.7945205479452054,32,0.9433962264150944,0.8064516129032258,0.8695652173913043,62,0.8320428826682549,0.8440180958777387,0.9329637096774195,0.9709839892386294,"{'TN': 29, 'FP': 3, 'FN': 12, 'TP': 50}"
123,4,0.8297872340425532,0.7142857142857143,0.8064516129032258,0.7575757575757576,31,0.8983050847457628,0.8412698412698413,0.8688524590163935,63,0.8132141082960755,0.832154823434907,0.894521249359959,0.9531624530098697,"{'TN': 25, 'FP': 6, 'FN': 10, 'TP': 53}"
777,0,0.9157894736842105,0.8333333333333334,0.9375,0.8823529411764706,32,0.9661016949152542,0.9047619047619048,0.9344262295081968,63,0.9083895853423336,0.9168857534385627,0.9717261904761905,0.9860895609183911,"{'TN': 30, 'FP': 2, 'FN': 6, 'TP': 57}"
777,1,0.8526315789473684,0.7647058823529411,0.8125,0.787878787878788,32,0.9016393442622951,0.873015873015873,0.8870967741935485,63,0.837487781036168,0.8536759788033133,0.9305555555555556,0.9683445696731598,"{'TN': 26, 'FP': 6, 'FN': 8, 'TP': 55}"
777,2,0.8210526315789474,0.6744186046511628,0.90625,0.7733333333333334,32,0.9423076923076923,0.7777777777777778,0.8521739130434781,63,0.8127536231884058,0.8256170861937452,0.8933531746031745,0.953279624656137,"{'TN': 29, 'FP': 3, 'FN': 14, 'TP': 49}"
777,3,0.8829787234042553,0.8620689655172413,0.78125,0.8196721311475409,32,0.8923076923076924,0.9354838709677419,0.9133858267716536,62,0.8665289789595974,0.8814832920911048,0.9339717741935485,0.9678385648807457,"{'TN': 25, 'FP': 7, 'FN': 4, 'TP': 58}"
777,4,0.8085106382978723,0.6585365853658537,0.8709677419354839,0.75,31,0.9245283018867925,0.7777777777777778,0.8448275862068966,63,0.7974137931034483,0.8135546588407923,0.9185867895545314,0.960589851023339,"{'TN': 27, 'FP': 4, 'FN': 14, 'TP': 49}"
