model,model_key,accuracy,precision_pass,recall_pass,f1_pass,support_pass,precision_fail,recall_fail,f1_fail,support_fail,macro_f1,weighted_f1,roc_auc,pr_auc,n_params,n_seeds,n_splits,threshold,elapsed_sec
MetaMamba,meta_mamba,0.8900634249471459,0.8165680473372781,0.8679245283018868,0.8414634146341463,159,0.930921052631579,0.9012738853503185,0.9158576051779935,314,0.8786605099060699,0.8908498328810133,0.934663301686496,0.9713025545011299,22065,3,8,0.5,5013.1
LSTM-7d,lstm_7d,0.6617336152219874,0.0,0.0,0.0,159,0.663135593220339,0.9968152866242038,0.7964376590330788,314,0.3982188295165394,0.5287133719585344,0.6225213315707248,0.7608975960928073,33857,3,8,0.5,29.6
BiLSTM-7d,bilstm_7d,0.6849894291754757,0.7777777777777778,0.0880503144654088,0.1581920903954802,159,0.6813186813186813,0.9872611464968153,0.8062418725617686,314,0.48221698147862435,0.5883984996982593,0.6749589392300606,0.7929844099098351,67201,3,8,0.5,35.6
Attention-7d,attention_7d,0.6997885835095138,0.673469387755102,0.20754716981132076,0.3173076923076923,159,0.7028301886792453,0.9490445859872612,0.8075880758807589,314,0.5624478840942255,0.6427792365824129,0.7107519128309898,0.8267441101089039,67713,3,8,0.5,56.6
MetaMamba-7d,meta_mamba_7d,0.8900634249471459,0.8203592814371258,0.8616352201257862,0.8404907975460123,159,0.9281045751633987,0.9044585987261147,0.9161290322580646,314,0.8783099149020384,0.8907030717523219,0.9292753274846773,0.9668640141720822,21809,3,8,0.5,2204.6
