seed,fold,accuracy,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,macro_f1,weighted_f1,roc_auc,pr_auc,confusion_matrix
42,0,0.7333333333333333,0.6428571428571429,0.45,0.5294117647058824,20,0.7608695652173914,0.875,0.813953488372093,40,0.6716826265389877,0.7191062471500228,0.8612500000000001,0.9427338315102207,"{'TN': 9, 'FP': 11, 'FN': 5, 'TP': 35}"
42,1,0.6779661016949152,0.5714285714285714,0.2,0.29629629629629634,20,0.6923076923076923,0.9230769230769231,0.7912087912087913,39,0.5437525437525437,0.6234418437808268,0.7576923076923077,0.8606575079439145,"{'TN': 4, 'FP': 16, 'FN': 3, 'TP': 36}"
42,2,0.6949152542372882,0.6,0.3,0.4,20,0.7142857142857143,0.8974358974358975,0.7954545454545455,39,0.5977272727272727,0.6614021571648689,0.7916666666666666,0.9024613861254116,"{'TN': 6, 'FP': 14, 'FN': 4, 'TP': 35}"
42,3,0.6101694915254238,0.0,0.0,0.0,20,0.6428571428571429,0.9230769230769231,0.7578947368421053,39,0.37894736842105264,0.5009812667261374,0.5884615384615384,0.7330422016239851,"{'TN': 0, 'FP': 20, 'FN': 3, 'TP': 36}"
42,4,0.6440677966101694,0.0,0.0,0.0,20,0.6551724137931034,0.9743589743589743,0.7835051546391754,39,0.3917525773195876,0.5179101869648786,0.5525641025641026,0.6882110967526036,"{'TN': 0, 'FP': 20, 'FN': 1, 'TP': 38}"
42,5,0.6949152542372882,0.5714285714285714,0.4,0.47058823529411764,20,0.7333333333333333,0.8461538461538461,0.7857142857142856,39,0.6281512605042017,0.6788918957413473,0.6935897435897437,0.8285206904381716,"{'TN': 8, 'FP': 12, 'FN': 6, 'TP': 33}"
42,6,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.49743589743589745,0.6735293783914754,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,7,0.6440677966101694,0.4,0.21052631578947367,0.27586206896551724,19,0.6938775510204082,0.85,0.7640449438202247,40,0.519953506392871,0.6068335095449799,0.6697368421052632,0.8070583401366712,"{'TN': 4, 'FP': 15, 'FN': 6, 'TP': 34}"
123,0,0.6666666666666666,0.5,0.25,0.3333333333333333,20,0.7,0.875,0.7777777777777777,40,0.5555555555555556,0.6296296296296297,0.7100000000000001,0.8320754471391435,"{'TN': 5, 'FP': 15, 'FN': 5, 'TP': 35}"
123,1,0.6610169491525424,0.5,0.25,0.3333333333333333,20,0.6938775510204082,0.8717948717948718,0.7727272727272728,39,0.553030303030303,0.6237801746276322,0.7384615384615384,0.8168916600162681,"{'TN': 5, 'FP': 15, 'FN': 5, 'TP': 34}"
123,2,0.6779661016949152,0.5555555555555556,0.25,0.3448275862068966,20,0.7,0.8974358974358975,0.7865168539325842,39,0.5656722200697404,0.6367916784323512,0.641025641025641,0.7894066744861179,"{'TN': 5, 'FP': 15, 'FN': 4, 'TP': 35}"
123,3,0.6271186440677966,0.25,0.05,0.08333333333333334,20,0.6545454545454545,0.9230769230769231,0.7659574468085106,39,0.424645390070922,0.5345594422406539,0.691025641025641,0.8447620870190343,"{'TN': 1, 'FP': 19, 'FN': 3, 'TP': 36}"
123,4,0.6610169491525424,0.5,0.2,0.28571428571428575,20,0.6862745098039216,0.8974358974358975,0.7777777777777778,39,0.5317460317460317,0.6109765940274414,0.6923076923076923,0.8274561624561572,"{'TN': 4, 'FP': 16, 'FN': 4, 'TP': 35}"
123,5,0.7288135593220338,0.7,0.35,0.4666666666666667,20,0.7346938775510204,0.9230769230769231,0.8181818181818182,39,0.6424242424242425,0.6990241397021058,0.7551282051282052,0.8538711607304265,"{'TN': 7, 'FP': 13, 'FN': 3, 'TP': 36}"
123,6,0.711864406779661,0.8,0.2,0.32000000000000006,20,0.7037037037037037,0.9743589743589743,0.8172043010752689,39,0.5686021505376344,0.6486604702022963,0.6814102564102563,0.7793600506141696,"{'TN': 4, 'FP': 16, 'FN': 1, 'TP': 38}"
123,7,0.6949152542372882,1.0,0.05263157894736842,0.1,19,0.6896551724137931,1.0,0.8163265306122449,40,0.45816326530612245,0.5856451054998271,0.6236842105263158,0.7616406879708055,"{'TN': 1, 'FP': 18, 'FN': 0, 'TP': 40}"
777,0,0.7333333333333333,0.8333333333333334,0.25,0.3846153846153846,20,0.7222222222222222,0.975,0.8297872340425532,40,0.6072013093289689,0.6813966175668303,0.75875,0.8830986808921993,"{'TN': 5, 'FP': 15, 'FN': 1, 'TP': 39}"
777,1,0.6779661016949152,0.6666666666666666,0.1,0.1739130434782609,20,0.6785714285714286,0.9743589743589743,0.8,39,0.48695652173913045,0.5877671333824613,0.7294871794871794,0.8173501628778979,"{'TN': 2, 'FP': 18, 'FN': 1, 'TP': 38}"
777,2,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5871794871794872,0.7407898917151684,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,3,0.6779661016949152,0.5384615384615384,0.35,0.4242424242424242,20,0.717391304347826,0.8461538461538461,0.776470588235294,39,0.6003565062388592,0.6570712106105925,0.6371794871794872,0.7661710546622219,"{'TN': 7, 'FP': 13, 'FN': 6, 'TP': 33}"
777,4,0.7457627118644068,0.7272727272727273,0.4,0.5161290322580645,20,0.75,0.9230769230769231,0.8275862068965517,39,0.671857619577308,0.7220075036292679,0.7410256410256411,0.8101870366981306,"{'TN': 8, 'FP': 12, 'FN': 3, 'TP': 36}"
777,5,0.6440677966101694,0.4,0.1,0.16000000000000003,20,0.6666666666666666,0.9230769230769231,0.7741935483870968,39,0.4670967741935484,0.5659923455440131,0.7192307692307692,0.8011670749978691,"{'TN': 2, 'FP': 18, 'FN': 3, 'TP': 36}"
777,6,0.6949152542372882,1.0,0.1,0.18181818181818182,20,0.6842105263157895,1.0,0.8125000000000001,39,0.49715909090909094,0.5987095531587058,0.573076923076923,0.7068748744373697,"{'TN': 2, 'FP': 18, 'FN': 0, 'TP': 39}"
777,7,0.711864406779661,0.5833333333333334,0.3684210526315789,0.4516129032258065,19,0.7446808510638298,0.875,0.8045977011494252,40,0.6281053021876158,0.6909246306316498,0.7052631578947368,0.8108929649099977,"{'TN': 7, 'FP': 12, 'FN': 5, 'TP': 35}"
